FIPSCode,LocationType,Location,FamilyType,TimeFrame,DataFormat,Data
06,State,California,All Families,2014_2018,Annual Income,"$81,416"
06,State,California,Families with Children,2014_2018,Annual Income,"$75,428"
06,State,California,Families without Children,2014_2018,Annual Income,"$85,428"
06001,County,Alameda County,All Families,2014_2018,Annual Income,"$111,231"
06001,County,Alameda County,Families with Children,2014_2018,Annual Income,"$115,428"
06001,County,Alameda County,Families without Children,2014_2018,Annual Income,"$108,360"
06005,County,Amador County,All Families,2014_2018,Annual Income,"$74,553"
06005,County,Amador County,Families with Children,2014_2018,Annual Income,S
06005,County,Amador County,Families without Children,2014_2018,Annual Income,"$73,838"
06007,County,Butte County,All Families,2014_2018,Annual Income,"$63,825"
06007,County,Butte County,Families with Children,2014_2018,Annual Income,"$61,130"
06007,County,Butte County,Families without Children,2014_2018,Annual Income,"$65,255"
06009,County,Calaveras County,All Families,2014_2018,Annual Income,"$78,161"
06009,County,Calaveras County,Families with Children,2014_2018,Annual Income,S
06009,County,Calaveras County,Families without Children,2014_2018,Annual Income,"$81,128"
06011,County,Colusa County,All Families,2014_2018,Annual Income,"$64,177"
06011,County,Colusa County,Families with Children,2014_2018,Annual Income,"$57,645"
06011,County,Colusa County,Families without Children,2014_2018,Annual Income,"$77,201"
06013,County,Contra Costa County,All Families,2014_2018,Annual Income,"$107,907"
06013,County,Contra Costa County,Families with Children,2014_2018,Annual Income,"$108,399"
06013,County,Contra Costa County,Families without Children,2014_2018,Annual Income,"$107,543"
06015,County,Del Norte County,All Families,2014_2018,Annual Income,"$57,654"
06015,County,Del Norte County,Families with Children,2014_2018,Annual Income,S
06015,County,Del Norte County,Families without Children,2014_2018,Annual Income,"$63,994"
06017,County,El Dorado County,All Families,2014_2018,Annual Income,"$99,248"
06017,County,El Dorado County,Families with Children,2014_2018,Annual Income,"$107,339"
06017,County,El Dorado County,Families without Children,2014_2018,Annual Income,"$94,845"
06019,County,Fresno County,All Families,2014_2018,Annual Income,"$57,015"
06019,County,Fresno County,Families with Children,2014_2018,Annual Income,"$46,209"
06019,County,Fresno County,Families without Children,2014_2018,Annual Income,"$66,424"
06021,County,Glenn County,All Families,2014_2018,Annual Income,"$55,364"
06021,County,Glenn County,Families with Children,2014_2018,Annual Income,"$54,389"
06021,County,Glenn County,Families without Children,2014_2018,Annual Income,"$55,833"
06023,County,Humboldt County,All Families,2014_2018,Annual Income,"$60,961"
06023,County,Humboldt County,Families with Children,2014_2018,Annual Income,"$50,039"
06023,County,Humboldt County,Families without Children,2014_2018,Annual Income,"$67,772"
06025,County,Imperial County,All Families,2014_2018,Annual Income,"$52,809"
06025,County,Imperial County,Families with Children,2014_2018,Annual Income,"$50,333"
06025,County,Imperial County,Families without Children,2014_2018,Annual Income,"$54,292"
06027,County,Inyo County,All Families,2014_2018,Annual Income,"$70,846"
06027,County,Inyo County,Families with Children,2014_2018,Annual Income,"$69,968"
06027,County,Inyo County,Families without Children,2014_2018,Annual Income,"$71,198"
06029,County,Kern County,All Families,2014_2018,Annual Income,"$57,015"
06029,County,Kern County,Families with Children,2014_2018,Annual Income,"$50,366"
06029,County,Kern County,Families without Children,2014_2018,Annual Income,"$63,861"
06031,County,Kings County,All Families,2014_2018,Annual Income,"$56,983"
06031,County,Kings County,Families with Children,2014_2018,Annual Income,"$49,402"
06031,County,Kings County,Families without Children,2014_2018,Annual Income,"$65,760"
06033,County,Lake County,All Families,2014_2018,Annual Income,"$54,677"
06033,County,Lake County,Families with Children,2014_2018,Annual Income,"$43,287"
06033,County,Lake County,Families without Children,2014_2018,Annual Income,"$62,836"
06035,County,Lassen County,All Families,2014_2018,Annual Income,"$69,082"
06035,County,Lassen County,Families with Children,2014_2018,Annual Income,S
06035,County,Lassen County,Families without Children,2014_2018,Annual Income,"$72,014"
06037,County,Los Angeles County,All Families,2014_2018,Annual Income,"$72,362"
06037,County,Los Angeles County,Families with Children,2014_2018,Annual Income,"$64,412"
